aimag,soum,lat,lon
Ömnögovi,Mandal-Ovoo,45.750000,106.270000
Ömnögovi,Manlai,43.983333,106.650000
Ömnögovi,Noyon,42.775896,102.372763
Ömnögovi,Nomgon,44.750000,103.850000
Ömnögovi,Sevrei,44.380000,102.730000
Ömnögovi,Khanbogd,43.080000,106.830000
